Customer ID,Confidence Level,Persona assigned,Registered for digital services,Date of last log in,Date of last log in 2,Persona Name,Persona Nickname
Cust076,6,Do it with me,No,16/03/2024,once in 3 months,Task specific,Learning Lerato 2
Cust077,9,Do it myself,Yes,17/03/2024,once in last month,Expert,Self-Serve Sam 2
Cust078,3,Do it with me,No,18/03/2024,once in 3 months,Wlling & unable,Tentative Terry 1
Cust079,5,Do it with me,Yes,19/03/2024,once in 12 months,Learning the ropes,Learning Lerato 1
Cust080,1,Do it for me,No,20/03/2024,once in 6 months,Never have never will,Digiphobe Doris 1
Cust081,4,Do it with me,Yes,21/03/2024,once in last month,Reluctantly online,Tentative Terry 2
Cust082,2,Do it for me,Yes,22/03/2024,once in 12 months,Was online but no longer,Digiphobe Doris 2
Cust083,4,Do it with me,Yes,23/03/2024,once in last month,Reluctantly online,Tentative Terry 2
Cust084,5,Do it with me,No,24/03/2024,once in 6 months,Learning the ropes,Learning Lerato 1
Cust085,7,Do it with me,No,25/03/2024,once in last month,Basic digital skills,Learning Lerato 3
Cust086,7,Do it with me,No,26/03/2024,once in 3 months,Basic digital skills,Learning Lerato 3
Cust087,7,Do it with me,Yes,27/03/2024,once in 12 months,Basic digital skills,Learning Lerato 3
Cust088,6,Do it with me,No,28/03/2024,longer than 12 months,Task specific,Learning Lerato 2
Cust089,8,Do it myself,Yes,29/03/2024,longer than 12 months,Confident,Self-Serve Sam 1
Cust090,6,Do it with me,Yes,30/03/2024,once in 12 months,Task specific,Learning Lerato 2
Cust091,6,Do it with me,No,31/03/2024,once in last month,Task specific,Learning Lerato 2
Cust092,7,Do it with me,No,01/04/2024,once in 12 months,Basic digital skills,Learning Lerato 3
Cust093,8,Do it myself,Yes,02/04/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust094,8,Do it myself,Yes,03/04/2024,once in 6 months,Confident,Self-Serve Sam 1
Cust095,8,Do it myself,Yes,04/04/2024,once in 3 months,Confident,Self-Serve Sam 1
Cust096,3,Do it with me,Yes,05/04/2024,once in 12 months,Wlling & unable,Tentative Terry 1
Cust097,8,Do it myself,No,06/04/2024,longer than 12 months,Confident,Self-Serve Sam 1
Cust098,2,Do it for me,No,07/04/2024,once in 6 months,Was online but no longer,Digiphobe Doris 2
Cust099,3,Do it with me,Yes,08/04/2024,longer than 12 months,Wlling & unable,Tentative Terry 1
Cust100,8,Do it myself,Yes,09/04/2024,once in 6 months,Confident,Self-Serve Sam 1
Cust101,9,Do it myself,Yes,10/04/2024,longer than 12 months,Expert,Self-Serve Sam 2
Cust102,5,Do it with me,No,11/04/2024,longer than 12 months,Learning the ropes,Learning Lerato 1
Cust103,8,Do it myself,Yes,12/04/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust104,4,Do it with me,Yes,13/04/2024,longer than 12 months,Reluctantly online,Tentative Terry 2
Cust105,3,Do it with me,No,14/04/2024,once in last month,Wlling & unable,Tentative Terry 1
Cust106,3,Do it with me,No,15/04/2024,longer than 12 months,Wlling & unable,Tentative Terry 1
Cust107,7,Do it with me,No,16/04/2024,longer than 12 months,Basic digital skills,Learning Lerato 3
Cust108,4,Do it with me,Yes,17/04/2024,once in 12 months,Reluctantly online,Tentative Terry 2
Cust109,8,Do it myself,Yes,18/04/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust110,8,Do it myself,Yes,19/04/2024,longer than 12 months,Confident,Self-Serve Sam 1
Cust111,3,Do it with me,Yes,20/04/2024,once in 3 months,Wlling & unable,Tentative Terry 1
Cust112,8,Do it myself,Yes,21/04/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust113,8,Do it myself,Yes,22/04/2024,once in last month,Confident,Self-Serve Sam 1
Cust114,8,Do it myself,Yes,23/04/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust115,4,Do it with me,Yes,24/04/2024,once in 12 months,Reluctantly online,Tentative Terry 2
Cust116,8,Do it myself,Yes,25/04/2024,once in last month,Confident,Self-Serve Sam 1
Cust117,8,Do it myself,Yes,26/04/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust118,2,Do it for me,No,27/04/2024,longer than 12 months,Was online but no longer,Digiphobe Doris 2
Cust119,8,Do it myself,Yes,28/04/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust120,8,Do it myself,Yes,29/04/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust121,8,Do it myself,Yes,30/04/2024,once in last month,Confident,Self-Serve Sam 1
Cust122,8,Do it myself,Yes,01/05/2024,once in last month,Confident,Self-Serve Sam 1
Cust123,5,Do it with me,Yes,02/05/2024,once in 12 months,Learning the ropes,Learning Lerato 1
Cust124,5,Do it with me,Yes,03/05/2024,once in 6 months,Learning the ropes,Learning Lerato 1
Cust125,8,Do it myself,Yes,04/05/2024,once in last month,Confident,Self-Serve Sam 1
Cust126,8,Do it myself,Yes,05/05/2024,once in 3 months,Confident,Self-Serve Sam 1
Cust127,1,Do it for me,No,06/05/2024,longer than 12 months,Never have never will,Digiphobe Doris 1
Cust128,9,Do it myself,Yes,07/05/2024,once in 6 months,Expert,Self-Serve Sam 2
Cust129,2,Do it for me,No,08/05/2024,longer than 12 months,Was online but no longer,Digiphobe Doris 2
Cust130,7,Do it with me,Yes,09/05/2024,once in 3 months,Basic digital skills,Learning Lerato 3
Cust131,7,Do it with me,Yes,10/05/2024,once in 6 months,Basic digital skills,Learning Lerato 3
Cust132,8,Do it myself,Yes,11/05/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust133,7,Do it with me,Yes,12/05/2024,once in 12 months,Basic digital skills,Learning Lerato 3
Cust134,4,Do it with me,No,13/05/2024,once in 3 months,Reluctantly online,Tentative Terry 2
Cust135,6,Do it with me,Yes,14/05/2024,once in 6 months,Task specific,Learning Lerato 2
Cust136,9,Do it myself,Yes,15/05/2024,once in 6 months,Expert,Self-Serve Sam 2
Cust137,7,Do it with me,No,16/05/2024,longer than 12 months,Basic digital skills,Learning Lerato 3
Cust138,3,Do it with me,No,17/05/2024,once in 3 months,Wlling & unable,Tentative Terry 1
Cust139,1,Do it for me,No,18/05/2024,longer than 12 months,Never have never will,Digiphobe Doris 1
Cust140,1,Do it for me,No,19/05/2024,longer than 12 months,Never have never will,Digiphobe Doris 1
Cust141,3,Do it with me,Yes,20/05/2024,once in 12 months,Wlling & unable,Tentative Terry 1
Cust142,7,Do it with me,No,21/05/2024,once in last month,Basic digital skills,Learning Lerato 3
Cust143,7,Do it with me,No,22/05/2024,once in 6 months,Basic digital skills,Learning Lerato 3
Cust144,5,Do it with me,Yes,23/05/2024,once in last month,Learning the ropes,Learning Lerato 1
Cust145,2,Do it for me,No,24/05/2024,longer than 12 months,Was online but no longer,Digiphobe Doris 2
Cust146,1,Do it for me,Yes,25/05/2024,once in 12 months,Never have never will,Digiphobe Doris 1
Cust147,2,Do it for me,No,26/05/2024,once in last month,Was online but no longer,Digiphobe Doris 2
Cust148,8,Do it myself,Yes,27/05/2024,once in 6 months,Confident,Self-Serve Sam 1
Cust149,1,Do it for me,No,28/05/2024,once in last month,Never have never will,Digiphobe Doris 1
Cust150,2,Do it for me,No,29/05/2024,once in 12 months,Was online but no longer,Digiphobe Doris 2
Cust151,7,Do it with me,No,30/05/2024,once in 12 months,Basic digital skills,Learning Lerato 3
Cust152,6,Do it with me,Yes,31/05/2024,once in 3 months,Task specific,Learning Lerato 2
Cust153,2,Do it for me,No,01/06/2024,once in last month,Was online but no longer,Digiphobe Doris 2
Cust154,3,Do it with me,Yes,02/06/2024,once in 12 months,Wlling & unable,Tentative Terry 1
Cust155,3,Do it with me,Yes,03/06/2024,once in 3 months,Wlling & unable,Tentative Terry 1
Cust156,9,Do it myself,Yes,04/06/2024,longer than 12 months,Expert,Self-Serve Sam 2
Cust157,4,Do it with me,No,05/06/2024,once in 12 months,Reluctantly online,Tentative Terry 2
Cust158,9,Do it myself,Yes,06/06/2024,once in 6 months,Expert,Self-Serve Sam 2
Cust159,5,Do it with me,Yes,07/06/2024,once in 3 months,Learning the ropes,Learning Lerato 1
Cust160,2,Do it for me,No,08/06/2024,once in 3 months,Was online but no longer,Digiphobe Doris 2
Cust161,8,Do it myself,Yes,09/06/2024,once in last month,Confident,Self-Serve Sam 1
Cust162,4,Do it with me,No,10/06/2024,longer than 12 months,Reluctantly online,Tentative Terry 2
Cust163,6,Do it with me,Yes,11/06/2024,once in 12 months,Task specific,Learning Lerato 2
Cust164,1,Do it for me,No,12/06/2024,once in 6 months,Never have never will,Digiphobe Doris 1
Cust165,8,Do it myself,Yes,13/06/2024,once in 3 months,Confident,Self-Serve Sam 1
Cust166,6,Do it with me,Yes,14/06/2024,once in last month,Task specific,Learning Lerato 2
Cust167,2,Do it for me,Yes,15/06/2024,once in 6 months,Was online but no longer,Digiphobe Doris 2
Cust168,3,Do it with me,Yes,16/06/2024,once in last month,Wlling & unable,Tentative Terry 1
Cust169,8,Do it myself,Yes,17/06/2024,once in 3 months,Confident,Self-Serve Sam 1
Cust170,7,Do it with me,Yes,18/06/2024,once in last month,Basic digital skills,Learning Lerato 3
Cust171,6,Do it with me,Yes,19/06/2024,once in last month,Task specific,Learning Lerato 2
Cust172,5,Do it with me,No,20/06/2024,longer than 12 months,Learning the ropes,Learning Lerato 1
Cust173,8,Do it myself,Yes,21/06/2024,once in last month,Confident,Self-Serve Sam 1
Cust174,8,Do it myself,Yes,22/06/2024,once in 6 months,Confident,Self-Serve Sam 1
Cust175,7,Do it with me,No,23/06/2024,once in last month,Basic digital skills,Learning Lerato 3
Cust176,9,Do it myself,Yes,24/06/2024,longer than 12 months,Expert,Self-Serve Sam 2
Cust177,5,Do it with me,No,25/06/2024,once in 6 months,Learning the ropes,Learning Lerato 1
Cust178,9,Do it myself,Yes,26/06/2024,once in 6 months,Expert,Self-Serve Sam 2
Cust179,4,Do it with me,No,27/06/2024,once in 12 months,Reluctantly online,Tentative Terry 2
Cust180,3,Do it with me,Yes,28/06/2024,once in 3 months,Wlling & unable,Tentative Terry 1
Cust181,7,Do it with me,Yes,29/06/2024,once in 6 months,Basic digital skills,Learning Lerato 3
Cust182,4,Do it with me,Yes,30/06/2024,once in 3 months,Reluctantly online,Tentative Terry 2
Cust183,6,Do it with me,No,01/07/2024,once in last month,Task specific,Learning Lerato 2
Cust184,7,Do it with me,Yes,02/07/2024,once in last month,Basic digital skills,Learning Lerato 3
Cust185,8,Do it myself,Yes,03/07/2024,longer than 12 months,Confident,Self-Serve Sam 1
Cust186,5,Do it with me,Yes,04/07/2024,once in 12 months,Learning the ropes,Learning Lerato 1
Cust187,2,Do it for me,No,05/07/2024,once in 3 months,Was online but no longer,Digiphobe Doris 2
Cust188,8,Do it myself,Yes,06/07/2024,once in last month,Confident,Self-Serve Sam 1
Cust189,8,Do it myself,Yes,07/07/2024,longer than 12 months,Confident,Self-Serve Sam 1
Cust190,8,Do it myself,No,08/07/2024,once in 6 months,Confident,Self-Serve Sam 1
Cust191,9,Do it myself,Yes,09/07/2024,once in last month,Expert,Self-Serve Sam 2
Cust192,5,Do it with me,No,10/07/2024,once in 12 months,Learning the ropes,Learning Lerato 1
Cust193,7,Do it with me,Yes,11/07/2024,once in last month,Basic digital skills,Learning Lerato 3
Cust194,5,Do it with me,No,12/07/2024,once in last month,Learning the ropes,Learning Lerato 1
Cust195,8,Do it myself,No,13/07/2024,once in last month,Confident,Self-Serve Sam 1
Cust196,1,Do it for me,No,14/07/2024,longer than 12 months,Never have never will,Digiphobe Doris 1
Cust197,2,Do it for me,No,15/07/2024,longer than 12 months,Was online but no longer,Digiphobe Doris 2
Cust198,7,Do it with me,No,16/07/2024,once in 12 months,Basic digital skills,Learning Lerato 3
Cust199,3,Do it with me,Yes,17/07/2024,once in 6 months,Wlling & unable,Tentative Terry 1
Cust200,7,Do it with me,Yes,18/07/2024,once in 3 months,Basic digital skills,Learning Lerato 3
Cust201,7,Do it with me,Yes,19/07/2024,once in 3 months,Basic digital skills,Learning Lerato 3
Cust202,7,Do it with me,Yes,20/07/2024,once in 3 months,Basic digital skills,Learning Lerato 3
Cust203,9,Do it myself,Yes,21/07/2024,once in 12 months,Expert,Self-Serve Sam 2
Cust204,9,Do it myself,Yes,22/07/2024,once in 12 months,Expert,Self-Serve Sam 2
Cust205,8,Do it myself,No,23/07/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust206,4,Do it with me,No,24/07/2024,once in 12 months,Reluctantly online,Tentative Terry 2
Cust207,3,Do it with me,No,25/07/2024,longer than 12 months,Wlling & unable,Tentative Terry 1
Cust208,7,Do it with me,Yes,26/07/2024,once in 12 months,Basic digital skills,Learning Lerato 3
Cust209,4,Do it with me,Yes,27/07/2024,once in last month,Reluctantly online,Tentative Terry 2
Cust210,1,Do it for me,No,28/07/2024,once in 12 months,Never have never will,Digiphobe Doris 1
Cust211,8,Do it myself,Yes,29/07/2024,once in 3 months,Confident,Self-Serve Sam 1
Cust212,2,Do it for me,No,30/07/2024,once in 12 months,Was online but no longer,Digiphobe Doris 2
Cust213,9,Do it myself,Yes,31/07/2024,once in 6 months,Expert,Self-Serve Sam 2
Cust214,9,Do it myself,Yes,01/08/2024,once in last month,Expert,Self-Serve Sam 2
Cust215,1,Do it for me,No,02/08/2024,once in 12 months,Never have never will,Digiphobe Doris 1
Cust216,6,Do it with me,Yes,03/08/2024,once in 12 months,Task specific,Learning Lerato 2
Cust217,9,Do it myself,Yes,04/08/2024,once in 6 months,Expert,Self-Serve Sam 2
Cust218,9,Do it myself,Yes,05/08/2024,once in 3 months,Expert,Self-Serve Sam 2
Cust219,8,Do it myself,No,06/08/2024,longer than 12 months,Confident,Self-Serve Sam 1
Cust220,8,Do it myself,Yes,07/08/2024,once in 3 months,Confident,Self-Serve Sam 1
Cust221,3,Do it with me,No,08/08/2024,once in last month,Wlling & unable,Tentative Terry 1
Cust222,8,Do it myself,Yes,09/08/2024,once in 3 months,Confident,Self-Serve Sam 1
Cust223,1,Do it for me,No,10/08/2024,longer than 12 months,Never have never will,Digiphobe Doris 1
Cust224,5,Do it with me,Yes,11/08/2024,longer than 12 months,Learning the ropes,Learning Lerato 1
Cust225,6,Do it with me,Yes,12/08/2024,once in 6 months,Task specific,Learning Lerato 2
Cust226,4,Do it with me,No,13/08/2024,longer than 12 months,Reluctantly online,Tentative Terry 2
Cust227,4,Do it with me,Yes,14/08/2024,once in 12 months,Reluctantly online,Tentative Terry 2
Cust228,8,Do it myself,Yes,15/08/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust229,1,Do it for me,No,16/08/2024,longer than 12 months,Never have never will,Digiphobe Doris 1
Cust230,8,Do it myself,Yes,17/08/2024,once in 6 months,Confident,Self-Serve Sam 1
Cust231,5,Do it with me,Yes,18/08/2024,once in last month,Learning the ropes,Learning Lerato 1
Cust232,4,Do it with me,Yes,19/08/2024,once in 3 months,Reluctantly online,Tentative Terry 2
Cust233,3,Do it with me,No,20/08/2024,once in last month,Wlling & unable,Tentative Terry 1
Cust234,5,Do it with me,Yes,21/08/2024,once in 3 months,Learning the ropes,Learning Lerato 1
Cust235,7,Do it with me,Yes,22/08/2024,once in 12 months,Basic digital skills,Learning Lerato 3
Cust236,5,Do it with me,No,23/08/2024,longer than 12 months,Learning the ropes,Learning Lerato 1
Cust237,5,Do it with me,No,24/08/2024,longer than 12 months,Learning the ropes,Learning Lerato 1
Cust238,9,Do it myself,Yes,25/08/2024,once in 3 months,Expert,Self-Serve Sam 2
Cust239,2,Do it for me,No,26/08/2024,once in last month,Was online but no longer,Digiphobe Doris 2
Cust240,9,Do it myself,Yes,27/08/2024,once in 6 months,Expert,Self-Serve Sam 2
Cust241,2,Do it for me,No,28/08/2024,longer than 12 months,Was online but no longer,Digiphobe Doris 2
Cust242,8,Do it myself,Yes,29/08/2024,once in 6 months,Confident,Self-Serve Sam 1
Cust243,5,Do it with me,Yes,30/08/2024,once in last month,Learning the ropes,Learning Lerato 1
Cust244,8,Do it myself,Yes,31/08/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust245,5,Do it with me,Yes,01/09/2024,longer than 12 months,Learning the ropes,Learning Lerato 1
Cust246,5,Do it with me,Yes,02/09/2024,longer than 12 months,Learning the ropes,Learning Lerato 1
Cust247,4,Do it with me,No,03/09/2024,once in 6 months,Reluctantly online,Tentative Terry 2
Cust248,2,Do it for me,No,04/09/2024,once in 6 months,Was online but no longer,Digiphobe Doris 2
Cust249,9,Do it myself,Yes,05/09/2024,once in 6 months,Expert,Self-Serve Sam 2
Cust250,8,Do it myself,Yes,06/09/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust251,8,Do it myself,No,07/09/2024,once in last month,Confident,Self-Serve Sam 1
Cust252,6,Do it with me,Yes,08/09/2024,longer than 12 months,Task specific,Learning Lerato 2
Cust253,7,Do it with me,Yes,09/09/2024,once in last month,Basic digital skills,Learning Lerato 3
Cust254,6,Do it with me,Yes,10/09/2024,once in 6 months,Task specific,Learning Lerato 2
Cust255,9,Do it myself,Yes,11/09/2024,once in last month,Expert,Self-Serve Sam 2
Cust256,6,Do it with me,No,12/09/2024,once in 12 months,Task specific,Learning Lerato 2
Cust257,3,Do it with me,Yes,13/09/2024,longer than 12 months,Wlling & unable,Tentative Terry 1
Cust258,7,Do it with me,No,14/09/2024,once in 3 months,Basic digital skills,Learning Lerato 3
Cust259,3,Do it with me,Yes,15/09/2024,once in 12 months,Wlling & unable,Tentative Terry 1
Cust260,5,Do it with me,Yes,16/09/2024,longer than 12 months,Learning the ropes,Learning Lerato 1
Cust261,8,Do it myself,No,17/09/2024,once in 6 months,Confident,Self-Serve Sam 1
Cust262,3,Do it with me,No,18/09/2024,once in 3 months,Wlling & unable,Tentative Terry 1
Cust263,8,Do it myself,Yes,19/09/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust264,5,Do it with me,Yes,20/09/2024,once in last month,Learning the ropes,Learning Lerato 1
Cust265,5,Do it with me,Yes,21/09/2024,longer than 12 months,Learning the ropes,Learning Lerato 1
Cust266,4,Do it with me,Yes,22/09/2024,once in 6 months,Reluctantly online,Tentative Terry 2
Cust267,4,Do it with me,Yes,23/09/2024,longer than 12 months,Reluctantly online,Tentative Terry 2
Cust268,9,Do it myself,Yes,24/09/2024,once in 6 months,Expert,Self-Serve Sam 2
Cust269,5,Do it with me,Yes,25/09/2024,once in 12 months,Learning the ropes,Learning Lerato 1
Cust270,4,Do it with me,Yes,26/09/2024,once in 12 months,Reluctantly online,Tentative Terry 2
Cust271,6,Do it with me,No,27/09/2024,once in 6 months,Task specific,Learning Lerato 2
Cust272,9,Do it myself,Yes,28/09/2024,longer than 12 months,Expert,Self-Serve Sam 2
Cust273,8,Do it myself,Yes,29/09/2024,once in last month,Confident,Self-Serve Sam 1
Cust274,8,Do it myself,Yes,30/09/2024,once in 6 months,Confident,Self-Serve Sam 1
Cust275,8,Do it myself,No,01/10/2024,once in 3 months,Confident,Self-Serve Sam 1
Cust276,9,Do it myself,Yes,02/10/2024,once in last month,Expert,Self-Serve Sam 2
Cust277,9,Do it myself,Yes,03/10/2024,once in 12 months,Expert,Self-Serve Sam 2
Cust278,1,Do it for me,Yes,04/10/2024,once in 6 months,Never have never will,Digiphobe Doris 1
Cust279,9,Do it myself,Yes,05/10/2024,once in 3 months,Expert,Self-Serve Sam 2
Cust280,9,Do it myself,Yes,06/10/2024,once in last month,Expert,Self-Serve Sam 2
Cust281,4,Do it with me,No,07/10/2024,once in last month,Reluctantly online,Tentative Terry 2
Cust282,9,Do it myself,Yes,08/10/2024,once in 12 months,Expert,Self-Serve Sam 2
Cust283,4,Do it with me,No,09/10/2024,longer than 12 months,Reluctantly online,Tentative Terry 2
Cust284,8,Do it myself,Yes,10/10/2024,once in last month,Confident,Self-Serve Sam 1
Cust285,8,Do it myself,No,11/10/2024,once in last month,Confident,Self-Serve Sam 1
Cust286,5,Do it with me,No,12/10/2024,once in 12 months,Learning the ropes,Learning Lerato 1
Cust287,8,Do it myself,No,13/10/2024,once in 12 months,Confident,Self-Serve Sam 1
Cust288,9,Do it myself,Yes,14/10/2024,once in 12 months,Expert,Self-Serve Sam 2
Cust289,6,Do it with me,No,15/10/2024,once in 6 months,Task specific,Learning Lerato 2
Cust290,9,Do it myself,Yes,16/10/2024,once in 12 months,Expert,Self-Serve Sam 2
Cust291,4,Do it with me,No,17/10/2024,once in last month,Reluctantly online,Tentative Terry 2
Cust292,8,Do it myself,Yes,18/10/2024,longer than 12 months,Confident,Self-Serve Sam 1
Cust293,4,Do it with me,Yes,19/10/2024,once in 6 months,Reluctantly online,Tentative Terry 2
Cust294,7,Do it with me,No,20/10/2024,once in 3 months,Basic digital skills,Learning Lerato 3
