Customer ID,Contact Date,Contact Channel,Number of JTBD,Interaction competence rating,Level of Support,Support Service Used,Deflection Provided,Digicare Case Open,Average CSAT,Deflection,JTBD,CSAT group
Cust076,16/03/2024,Webchat,3,Do it myself,Self help,Libraries Connected,Yes,No,2,screen share,Digital,Libraries Connected
Cust077,17/03/2024,Phone,3,Do it myself,Assisted digital,Digicare,Yes,No,2,screen share,Non-digital,Libraries Connected
Cust078,18/03/2024,Phone,4,Do it with me,Digicare,Assisted digital,Yes,No,5,Other,Non-digital,Libraries Connected
Cust079,19/03/2024,Phone,3,Do it myself,Self help,Libraries Connected,Yes,No,5,no deflection,Digital,Libraries Connected
Cust080,20/03/2024,Phone,1,Do it myself,Assisted digital,Digicare,Yes,No,1,no deflection,Non-digital,Book
Cust081,21/03/2024,Phone,2,Refer to Digicare,Digicare,Digicare,Yes,No,2,no deflection,Non-digital,Campaign
Cust082,22/03/2024,Webchat,3,Do it with me,Self help,Assisted digital,No,Yes,5,screen share,Non-digital,Digicare
Cust083,23/03/2024,Webchat,1,Do it with me,Assisted digital,Libraries Connected,No,No,1,no deflection,Non-digital,Campaign
Cust084,24/03/2024,Phone,1,Refer to Digicare,Digicare,Assisted digital,Yes,No,5,screen share,Digital,Campaign
Cust085,25/03/2024,Phone,3,Do it with me,Self help,Libraries Connected,No,No,1,screen share,Digital,Libraries Connected
Cust086,26/03/2024,Phone,2,Do it with me,Assisted digital,Libraries Connected,No,No,5,no deflection,Digital,Book
Cust087,27/03/2024,Webchat,4,Do it with me,Digicare,Assisted digital,Yes,No,3,screen share,Digital,Libraries Connected
Cust088,28/03/2024,Phone,1,Do it myself,Self help,Self help,No,No,5,Other,Digital,Book
Cust089,29/03/2024,Phone,3,Refer to Digicare,Assisted digital,Digicare,Yes,No,1,no deflection,Digital,Libraries Connected
Cust090,30/03/2024,Webchat,4,Do it with me,Digicare,Assisted digital,Yes,No,1,Other,Non-digital,Digicare
Cust091,31/03/2024,Phone,3,Do it with me,Self help,Libraries Connected,No,No,2,screen share,Non-digital,Digicare
Cust092,01/04/2024,Phone,2,Do it myself,Assisted digital,Libraries Connected,No,No,3,no deflection,Non-digital,Libraries Connected
Cust093,02/04/2024,Phone,4,Do it myself,Digicare,Libraries Connected,No,Yes,4,no deflection,Digital,Book
Cust094,03/04/2024,Webchat,1,Do it with me,Self help,Libraries Connected,No,No,4,self help resources,Digital,Book
Cust095,04/04/2024,Webchat,3,Refer to Digicare,Assisted digital,Self help,No,No,5,Other,Non-digital,Campaign
Cust096,05/04/2024,Phone,1,Do it with me,Digicare,Assisted digital,Yes,No,1,no deflection,Digital,Libraries Connected
Cust097,06/04/2024,Phone,1,Do it with me,Self help,Assisted digital,No,No,2,screen share,Digital,Libraries Connected
Cust098,07/04/2024,Phone,3,Do it with me,Assisted digital,Assisted digital,Yes,No,1,screen share,Digital,Digicare
Cust099,08/04/2024,Phone,3,Do it myself,Digicare,Libraries Connected,No,No,4,no deflection,Non-digital,Campaign
Cust100,09/04/2024,Phone,2,Do it myself,Self help,Self help,No,No,2,screen share,Digital,Digicare
Cust101,10/04/2024,Phone,2,Do it with me,Assisted digital,Digicare,Yes,No,4,screen share,Non-digital,Libraries Connected
Cust102,11/04/2024,Phone,2,Refer to Digicare,Digicare,Digicare,No,No,2,no deflection,Non-digital,Libraries Connected
Cust103,12/04/2024,Phone,2,Do it with me,Self help,Digicare,No,No,5,no deflection,Digital,Digicare
Cust104,13/04/2024,Phone,1,Do it with me,Assisted digital,Digicare,Yes,No,1,Other,Digital,Digicare
Cust105,14/04/2024,Phone,2,Do it with me,Digicare,Self help,No,No,2,no deflection,Non-digital,Libraries Connected
Cust106,15/04/2024,Phone,2,Do it myself,Self help,Self help,Yes,No,5,Other,Non-digital,Campaign
Cust107,16/04/2024,Webchat,2,Do it myself,Assisted digital,Libraries Connected,No,No,4,screen share,Digital,Book
Cust108,17/04/2024,Webchat,3,Do it myself,Digicare,Assisted digital,Yes,No,1,screen share,Digital,Book
Cust109,18/04/2024,Webchat,1,Do it with me,Self help,Self help,No,No,1,Other,Non-digital,Campaign
Cust110,19/04/2024,Phone,3,Do it myself,Assisted digital,Digicare,Yes,No,1,no deflection,Non-digital,Digicare
Cust111,20/04/2024,Phone,2,Do it with me,Digicare,Assisted digital,No,No,2,no deflection,Digital,Libraries Connected
Cust112,21/04/2024,Social Media,4,Do it with me,Self help,Digicare,Yes,No,1,Other,Digital,Campaign
Cust113,22/04/2024,Social Media,1,Do it myself,Assisted digital,Digicare,No,No,5,Other,Digital,Libraries Connected
Cust114,23/04/2024,Social Media,4,Do it myself,Digicare,Libraries Connected,No,No,5,no deflection,Non-digital,Libraries Connected
Cust115,24/04/2024,Social Media,1,Do it myself,Self help,Self help,No,No,1,screen share,Non-digital,Digicare
Cust116,25/04/2024,Social Media,3,Do it with me,Assisted digital,Libraries Connected,Yes,No,5,screen share,Digital,Campaign
Cust117,26/04/2024,Phone,1,Do it myself,Digicare,Assisted digital,No,No,1,no deflection,Digital,Libraries Connected
Cust118,27/04/2024,Phone,2,Do it myself,Self help,Libraries Connected,No,No,5,no deflection,Digital,Digicare
Cust119,28/04/2024,Webchat,4,Do it with me,Assisted digital,Libraries Connected,Yes,No,5,self help resources,Digital,Campaign
Cust120,29/04/2024,Webchat,4,Do it myself,Digicare,Assisted digital,Yes,No,5,no deflection,Non-digital,Book
Cust121,30/04/2024,Phone,4,Do it myself,Self help,Assisted digital,No,No,5,no deflection,Digital,Libraries Connected
Cust122,01/05/2024,Phone,3,Do it with me,Assisted digital,Libraries Connected,No,No,2,screen share,Non-digital,Digicare
Cust123,02/05/2024,Phone,4,Do it with me,Digicare,Digicare,Yes,No,4,screen share,Non-digital,Campaign
Cust124,03/05/2024,Phone,2,Do it myself,Self help,Self help,Yes,No,3,no deflection,Digital,Libraries Connected
Cust125,04/05/2024,Poly AI,1,Do it with me,Assisted digital,Assisted digital,No,No,2,no deflection,Digital,Digicare
Cust126,05/05/2024,Poly AI,3,Do it myself,Digicare,Digicare,No,No,1,Other,Digital,Digicare
Cust127,06/05/2024,Poly AI,2,Refer to Digicare,Self help,Digicare,No,Yes,2,no deflection,Digital,Libraries Connected
Cust128,07/05/2024,Poly AI,4,Do it with me,Assisted digital,Assisted digital,No,No,3,screen share,Non-digital,Libraries Connected
Cust129,08/05/2024,Poly AI,1,Do it myself,Digicare,Assisted digital,No,No,2,Other,Digital,Campaign
Cust130,09/05/2024,Poly AI,4,Do it with me,Self help,Libraries Connected,Yes,No,1,screen share,Digital,Libraries Connected
Cust131,10/05/2024,Poly AI,3,Do it with me,Assisted digital,Digicare,No,No,3,no deflection,Non-digital,Campaign
Cust132,11/05/2024,Poly AI,4,Do it myself,Digicare,Assisted digital,No,No,1,screen share,Non-digital,Digicare
Cust133,12/05/2024,Poly AI,3,Do it myself,Self help,Digicare,No,No,3,self help resources,Non-digital,Campaign
Cust134,13/05/2024,Poly AI,2,Do it myself,Assisted digital,Libraries Connected,Yes,No,5,Other,Non-digital,Book
Cust135,14/05/2024,Poly AI,4,Do it with me,Digicare,Libraries Connected,No,No,3,Other,Non-digital,Campaign
Cust136,15/05/2024,Poly AI,2,Do it myself,Self help,Assisted digital,Yes,No,3,Other,Digital,Libraries Connected
Cust137,16/05/2024,Poly AI,1,Do it with me,Assisted digital,Digicare,No,No,1,screen share,Digital,Digicare
Cust138,17/05/2024,Poly AI,1,Do it myself,Digicare,Libraries Connected,No,No,4,Other,Digital,Book
Cust139,18/05/2024,Poly AI,4,Do it with me,Self help,Self help,Yes,No,4,screen share,Non-digital,Digicare
Cust140,19/05/2024,Phone,2,Refer to Digicare,Assisted digital,Digicare,Yes,No,4,no deflection,Digital,Libraries Connected
Cust141,20/05/2024,Phone,4,Do it with me,Digicare,Libraries Connected,No,No,1,self help resources,Digital,Libraries Connected
Cust142,21/05/2024,Phone,4,Do it myself,Self help,Digicare,No,Yes,3,no deflection,Digital,Libraries Connected
Cust143,22/05/2024,Webchat,1,Do it myself,Assisted digital,Assisted digital,No,No,2,no deflection,Digital,Libraries Connected
Cust144,23/05/2024,Webchat,2,Do it with me,Digicare,Assisted digital,No,No,2,no deflection,Non-digital,Digicare
Cust145,24/05/2024,Phone,4,Do it myself,Self help,Digicare,Yes,No,1,Other,Non-digital,Digicare
Cust146,25/05/2024,Webchat,4,Do it with me,Assisted digital,Assisted digital,No,No,3,no deflection,Non-digital,Digicare
Cust147,26/05/2024,Phone,3,Do it myself,Digicare,Self help,Yes,No,2,Other,Non-digital,Digicare
Cust148,27/05/2024,Phone,3,Do it with me,Self help,Digicare,Yes,No,1,Other,Digital,Digicare
Cust149,28/05/2024,Phone,2,Do it with me,Assisted digital,Self help,Yes,No,1,no deflection,Non-digital,Libraries Connected
Cust150,29/05/2024,Webchat,2,Refer to Digicare,Digicare,Self help,Yes,No,1,screen share,Digital,Libraries Connected
Cust151,30/05/2024,Phone,3,Refer to Digicare,Self help,Digicare,No,Yes,1,no deflection,Digital,Book
Cust152,31/05/2024,Phone,2,Do it myself,Assisted digital,Digicare,No,No,4,no deflection,Digital,Campaign
Cust153,01/06/2024,Phone,3,Refer to Digicare,Digicare,Digicare,No,No,2,no deflection,Digital,Digicare
Cust154,02/06/2024,Phone,2,Do it myself,Self help,Libraries Connected,Yes,No,4,no deflection,Non-digital,Book
Cust155,03/06/2024,Phone,2,Do it with me,Assisted digital,Digicare,Yes,No,3,no deflection,Non-digital,Digicare
Cust156,04/06/2024,Phone,4,Refer to Digicare,Digicare,Digicare,No,No,2,screen share,Non-digital,Book
Cust157,05/06/2024,Phone,4,Do it with me,Self help,Libraries Connected,Yes,No,1,Other,Non-digital,Digicare
Cust158,06/06/2024,Webchat,4,Do it myself,Assisted digital,Libraries Connected,No,No,3,no deflection,Digital,Campaign
Cust159,07/06/2024,Phone,4,Do it with me,Digicare,Assisted digital,No,No,3,no deflection,Non-digital,Digicare
Cust160,08/06/2024,Webchat,1,Do it with me,Self help,Digicare,Yes,No,1,Other,Non-digital,Digicare
Cust161,09/06/2024,Phone,3,Do it with me,Assisted digital,Libraries Connected,Yes,No,2,no deflection,Non-digital,Digicare
Cust162,10/06/2024,Phone,3,Do it with me,Digicare,Digicare,No,No,2,no deflection,Non-digital,Campaign
Cust163,11/06/2024,Webchat,2,Refer to Digicare,Self help,Assisted digital,Yes,No,5,screen share,Non-digital,Book
Cust164,12/06/2024,Phone,4,Do it myself,Assisted digital,Assisted digital,No,No,5,screen share,Digital,Libraries Connected
Cust165,13/06/2024,Phone,4,Do it myself,Digicare,Digicare,No,No,1,no deflection,Digital,Book
Cust166,14/06/2024,Phone,1,Do it myself,Self help,Self help,No,No,1,screen share,Non-digital,Campaign
Cust167,15/06/2024,Phone,2,Do it myself,Assisted digital,Assisted digital,No,No,3,self help resources,Digital,Libraries Connected
Cust168,16/06/2024,Phone,2,Do it myself,Digicare,Libraries Connected,Yes,No,2,no deflection,Digital,Libraries Connected
Cust169,17/06/2024,Phone,3,Do it with me,Self help,Assisted digital,No,No,3,Other,Non-digital,Campaign
Cust170,18/06/2024,Webchat,3,Refer to Digicare,Assisted digital,Self help,Yes,No,3,screen share,Non-digital,Book
Cust171,19/06/2024,Phone,1,Refer to Digicare,Digicare,Assisted digital,Yes,No,1,Other,Non-digital,Digicare
Cust172,20/06/2024,Webchat,3,Do it with me,Self help,Libraries Connected,No,No,1,screen share,Non-digital,Digicare
Cust173,21/06/2024,Social Media,1,Refer to Digicare,Assisted digital,Libraries Connected,Yes,No,2,no deflection,Non-digital,Libraries Connected
Cust174,22/06/2024,Social Media,3,Do it myself,Digicare,Assisted digital,Yes,No,2,no deflection,Non-digital,Campaign
Cust175,23/06/2024,Social Media,2,Do it with me,Self help,Digicare,Yes,Yes,2,no deflection,Digital,Libraries Connected
Cust176,24/06/2024,Social Media,4,Do it myself,Assisted digital,Assisted digital,Yes,No,4,Other,Non-digital,Book
Cust177,25/06/2024,Social Media,4,Do it with me,Digicare,Self help,No,No,5,screen share,Digital,Libraries Connected
Cust178,26/06/2024,Phone,1,Do it with me,Self help,Assisted digital,Yes,No,2,no deflection,Digital,Digicare
Cust179,27/06/2024,Webchat,2,Do it myself,Assisted digital,Libraries Connected,Yes,No,2,no deflection,Digital,Libraries Connected
Cust180,28/06/2024,Phone,4,Do it myself,Digicare,Digicare,No,No,4,no deflection,Non-digital,Digicare
Cust181,29/06/2024,Phone,3,Do it myself,Self help,Libraries Connected,No,No,5,screen share,Digital,Libraries Connected
Cust182,30/06/2024,Webchat,3,Do it myself,Assisted digital,Digicare,No,Yes,4,screen share,Digital,Libraries Connected
Cust183,01/07/2024,Phone,1,Do it with me,Digicare,Assisted digital,No,No,1,self help resources,Digital,Book
Cust184,02/07/2024,Phone,1,Do it myself,Self help,Self help,Yes,No,2,screen share,Non-digital,Book
Cust185,03/07/2024,Phone,1,Do it with me,Assisted digital,Self help,No,No,4,self help resources,Digital,Book
Cust186,04/07/2024,Phone,2,Do it myself,Digicare,Self help,No,No,3,no deflection,Digital,Libraries Connected
Cust187,05/07/2024,Phone,3,Do it with me,Self help,Libraries Connected,Yes,No,3,Other,Digital,Book
Cust188,06/07/2024,Phone,4,Refer to Digicare,Assisted digital,Digicare,Yes,No,3,no deflection,Non-digital,Campaign
Cust189,07/07/2024,Phone,1,Do it with me,Digicare,Libraries Connected,Yes,No,3,no deflection,Non-digital,Campaign
Cust190,08/07/2024,Phone,4,Do it with me,Self help,Assisted digital,Yes,No,1,no deflection,Non-digital,Digicare
Cust191,09/07/2024,Webchat,1,Do it myself,Assisted digital,Self help,Yes,No,4,screen share,Digital,Book
Cust192,10/07/2024,Webchat,2,Do it myself,Digicare,Digicare,Yes,No,3,Other,Digital,Campaign
Cust193,11/07/2024,Phone,2,Do it myself,Self help,Self help,Yes,No,4,Other,Non-digital,Libraries Connected
Cust194,12/07/2024,Phone,2,Do it myself,Assisted digital,Digicare,No,No,4,screen share,Non-digital,Libraries Connected
Cust195,13/07/2024,Phone,3,Do it myself,Digicare,Self help,Yes,No,1,no deflection,Non-digital,Book
Cust196,14/07/2024,Phone,3,Do it myself,Self help,Assisted digital,Yes,No,2,Other,Digital,Campaign
Cust197,15/07/2024,Phone,1,Do it with me,Assisted digital,Digicare,No,No,1,Other,Digital,Digicare
Cust198,16/07/2024,Phone,3,Do it myself,Digicare,Self help,Yes,No,1,no deflection,Digital,Book
Cust199,17/07/2024,Phone,3,Do it with me,Self help,Digicare,Yes,No,1,screen share,Digital,Digicare
Cust200,18/07/2024,Phone,4,Do it with me,Assisted digital,Self help,No,Yes,5,no deflection,Digital,Libraries Connected
Cust201,19/07/2024,Phone,2,Refer to Digicare,Digicare,Assisted digital,No,Yes,1,no deflection,Non-digital,Campaign
Cust202,20/07/2024,Webchat,4,Do it with me,Self help,Digicare,Yes,No,1,screen share,Non-digital,Digicare
Cust203,21/07/2024,Webchat,2,Do it with me,Assisted digital,Self help,No,No,5,no deflection,Digital,Campaign
Cust204,22/07/2024,Phone,4,Refer to Digicare,Digicare,Libraries Connected,No,No,5,screen share,Non-digital,Libraries Connected
Cust205,23/07/2024,Phone,3,Do it myself,Self help,Self help,No,Yes,3,no deflection,Non-digital,Libraries Connected
Cust206,24/07/2024,Phone,3,Do it myself,Assisted digital,Self help,No,No,1,Other,Digital,Campaign
Cust207,25/07/2024,Phone,2,Do it myself,Digicare,Digicare,Yes,No,2,no deflection,Non-digital,Libraries Connected
Cust208,26/07/2024,Phone,3,Do it with me,Self help,Libraries Connected,No,No,2,screen share,Digital,Campaign
Cust209,27/07/2024,Phone,2,Do it myself,Assisted digital,Digicare,Yes,No,4,screen share,Non-digital,Book
Cust210,28/07/2024,Phone,4,Refer to Digicare,Digicare,Libraries Connected,Yes,Yes,1,self help resources,Non-digital,Libraries Connected
Cust211,29/07/2024,Phone,4,Do it with me,Self help,Assisted digital,Yes,No,3,no deflection,Non-digital,Digicare
Cust212,30/07/2024,Phone,4,Do it with me,Assisted digital,Digicare,No,No,5,no deflection,Non-digital,Libraries Connected
Cust213,31/07/2024,Phone,3,Do it with me,Digicare,Digicare,No,No,2,no deflection,Non-digital,Libraries Connected
Cust214,01/08/2024,Phone,1,Do it myself,Self help,Assisted digital,No,Yes,4,screen share,Digital,Digicare
Cust215,02/08/2024,Phone,4,Do it with me,Assisted digital,Libraries Connected,Yes,No,1,no deflection,Non-digital,Digicare
Cust216,03/08/2024,Phone,2,Do it myself,Digicare,Libraries Connected,Yes,No,5,no deflection,Digital,Digicare
Cust217,04/08/2024,Webchat,2,Refer to Digicare,Self help,Digicare,No,No,3,Other,Digital,Libraries Connected
Cust218,05/08/2024,Phone,3,Refer to Digicare,Assisted digital,Self help,No,No,4,screen share,Non-digital,Digicare
Cust219,06/08/2024,Phone,2,Do it with me,Digicare,Assisted digital,Yes,No,1,no deflection,Non-digital,Campaign
Cust220,07/08/2024,Webchat,1,Do it myself,Self help,Libraries Connected,No,No,1,screen share,Digital,Campaign
Cust221,08/08/2024,Phone,3,Do it with me,Assisted digital,Self help,No,No,3,no deflection,Digital,Digicare
Cust222,09/08/2024,Phone,2,Do it myself,Digicare,Assisted digital,No,No,1,Other,Digital,Digicare
Cust223,10/08/2024,Phone,4,Do it myself,Self help,Self help,No,No,4,no deflection,Digital,Digicare
Cust224,11/08/2024,Webchat,3,Do it with me,Assisted digital,Assisted digital,Yes,No,1,Other,Non-digital,Libraries Connected
Cust225,12/08/2024,Phone,4,Do it with me,Digicare,Self help,No,No,4,screen share,Non-digital,Digicare
Cust226,13/08/2024,Social Media,2,Do it with me,Self help,Self help,Yes,Yes,3,no deflection,Digital,Libraries Connected
Cust227,14/08/2024,Social Media,2,Do it myself,Assisted digital,Assisted digital,Yes,Yes,5,Other,Digital,Digicare
Cust228,15/08/2024,Social Media,2,Do it with me,Digicare,Digicare,Yes,Yes,1,screen share,Non-digital,Campaign
Cust229,16/08/2024,Social Media,4,Do it myself,Self help,Digicare,Yes,No,5,no deflection,Digital,Book
Cust230,17/08/2024,Social Media,3,Do it myself,Assisted digital,Assisted digital,Yes,No,3,no deflection,Digital,Digicare
Cust231,18/08/2024,Social Media,1,Do it with me,Digicare,Libraries Connected,Yes,No,5,Other,Digital,Digicare
Cust232,19/08/2024,Social Media,2,Do it with me,Self help,Assisted digital,No,No,3,no deflection,Non-digital,Digicare
Cust233,20/08/2024,Social Media,4,Refer to Digicare,Assisted digital,Self help,Yes,Yes,4,self help resources,Non-digital,Digicare
Cust234,21/08/2024,Social Media,3,Do it with me,Digicare,Libraries Connected,Yes,No,2,Other,Digital,Digicare
Cust235,22/08/2024,Social Media,3,Do it myself,Self help,Self help,Yes,No,5,no deflection,Digital,Book
Cust236,23/08/2024,Social Media,1,Do it with me,Assisted digital,Libraries Connected,No,Yes,3,no deflection,Digital,Book
Cust237,24/08/2024,Social Media,3,Do it myself,Digicare,Libraries Connected,Yes,No,1,no deflection,Digital,Digicare
