case_id,case_created_timestamp,case_type,request_type,blocked_timestamp,blocked_sequence,
CASE028,19-01-2024 15:56:18,Postal_Payment,Withdrawl,22-01-2024 15:56:18,1,
CASE029,20-01-2024 10:46:34,Account_Trace,Other,01-02-2024 10:46:34,2,
CASE030,20-01-2024 14:24:43,Sales_Application,Other,25-01-2024 14:24:43,1,
CASE031,20-01-2024 15:54:00,Online_Registration,Account_Check,29-01-2024 15:54:00,3,
CASE032,20-01-2024 16:45:59,Online_Registration,Other,24-01-2024 16:45:59,3,
CASE033,20-01-2024 16:52:19,Sales_Application,Withdrawl,03-02-2024 16:52:19,1,
CASE034,21-01-2024 10:47:00,Sales_Application,Payment,27-01-2024 10:47:00,3,
CASE035,21-01-2024 11:26:01,Change_of_Detail,Payment,31-01-2024 11:26:01,4,
CASE036,21-01-2024 14:05:25,Account_Trace,Change,01-02-2024 14:05:25,4,
CASE037,21-01-2024 17:28:36,Account_Query,Fund_Transfer,30-01-2024 17:28:36,1,
CASE038,22-01-2024 10:03:39,Telephony_Registration,Account_Check,02-02-2024 10:03:39,3,
CASE039,22-01-2024 11:35:40,Change_of_Detail,Other,24-01-2024 11:35:40,2,
CASE040,22-01-2024 14:19:06,Subject_Access_Request,Fund_Transfer,05-02-2024 14:19:06,1,
CASE041,23-01-2024 11:17:31,Online_Registration,Account_Check,06-02-2024 11:17:31,5,
CASE042,24-01-2024 11:50:04,Telephony_Registration,ID&V,30-01-2024 11:50:04,3,
CASE043,25-01-2024 10:29:51,Online_Registration,Payment_Verification,30-01-2024 10:29:51,2,
CASE044,25-01-2024 11:09:27,Account_Trace,Payment_Verification,06-02-2024 11:09:27,4,
CASE045,25-01-2024 15:37:35,Complaint,Payment_Verification,08-02-2024 15:37:35,5,
CASE046,25-01-2024 16:36:03,Change_of_Detail,Payment_Verification,27-01-2024 16:36:03,5,
CASE047,26-01-2024 10:58:57,Online_Registration,ID&V,30-01-2024 10:58:57,1,
CASE048,26-01-2024 16:19:38,Online_Registration,Fund_Transfer,05-02-2024 16:19:38,3,
CASE049,27-01-2024 10:28:16,Online_Registration,Fund_Transfer,07-02-2024 10:28:16,4,
CASE050,29-01-2024 09:12:58,Account_Trace,ID&V,10-02-2024 09:12:58,5,
CASE051,29-01-2024 12:02:27,Complaint,ID&V,11-02-2024 12:02:27,4,
CASE052,29-01-2024 17:44:36,Subject_Access_Request,Withdrawl,02-02-2024 17:44:36,5,
CASE053,30-01-2024 12:12:32,Sales_Application,Other,12-02-2024 12:12:32,1,
CASE054,01-02-2024 17:49:12,Sales_Application,Account_Check,03-02-2024 17:49:12,1,
CASE055,02-02-2024 09:29:31,Account_Trace,Account_Check,11-02-2024 09:29:31,2,
CASE056,02-02-2024 15:26:47,Telephony_Registration,Payment,10-02-2024 15:26:47,4,
CASE057,02-02-2024 16:01:21,Telephony_Registration,Withdrawl,11-02-2024 16:01:21,2,
CASE058,03-02-2024 10:28:42,Subject_Access_Request,Other,16-02-2024 10:28:42,1,
CASE059,05-02-2024 10:30:52,Change_of_Detail,Change,11-02-2024 10:30:52,5,
CASE060,05-02-2024 15:59:20,Change_of_Detail,Other,17-02-2024 15:59:20,4,
CASE061,05-02-2024 16:01:55,Change_of_Detail,ID&V,09-02-2024 16:01:55,4,
CASE062,06-02-2024 09:13:15,Subject_Access_Request,Other,12-02-2024 09:13:15,5,
CASE063,06-02-2024 10:12:52,Account_Query,Other,18-02-2024 10:12:52,4,
CASE064,06-02-2024 16:14:18,Sales_Application,Payment,11-02-2024 16:14:18,3,
CASE065,08-02-2024 16:08:15,Subject_Access_Request,Withdrawl,17-02-2024 16:08:15,4,
CASE066,08-02-2024 17:39:07,Change_of_Detail,ID&V,13-02-2024 17:39:07,1,
CASE067,09-02-2024 15:02:36,Account_Query,Fund_Transfer,10-02-2024 15:02:36,4,
CASE068,09-02-2024 16:55:47,Telephony_Registration,Other,22-02-2024 16:55:47,2,
CASE069,10-02-2024 13:41:48,Telephony_Registration,Change,11-02-2024 13:41:48,2,
CASE070,10-02-2024 15:04:28,Sales_Application,Withdrawl,24-02-2024 15:04:28,5,
CASE071,10-02-2024 15:55:09,Telephony_Registration,ID&V,18-02-2024 15:55:09,2,
CASE072,11-02-2024 09:37:09,Sales_Application,Payment,22-02-2024 09:37:09,2,
CASE073,11-02-2024 11:24:00,Telephony_Registration,Account_Check,24-02-2024 11:24:00,2,
CASE074,11-02-2024 13:18:20,Change_of_Detail,Fund_Transfer,15-02-2024 13:18:20,4,
CASE075,12-02-2024 11:50:56,Sales_Application,Other,20-02-2024 11:50:56,1,
CASE076,13-02-2024 09:24:12,Complaint,ID&V,24-02-2024 09:24:12,2,
CASE077,13-02-2024 14:37:49,Account_Query,Change,23-02-2024 14:37:49,5,
CASE078,14-02-2024 12:04:36,Online_Registration,Account_Check,15-02-2024 12:04:36,2,
CASE079,14-02-2024 12:08:04,Account_Query,Withdrawl,25-02-2024 12:08:04,1,
CASE080,14-02-2024 16:35:54,Sales_Application,ID&V,25-02-2024 16:35:54,4,
CASE081,15-02-2024 12:40:45,Complaint,Payment,27-02-2024 12:40:45,3,
CASE082,15-02-2024 12:54:00,Telephony_Registration,Payment_Verification,20-02-2024 12:54:00,1,
CASE083,15-02-2024 16:16:02,Telephony_Registration,Other,26-02-2024 16:16:02,1,
CASE084,16-02-2024 11:31:29,Account_Trace,Payment_Verification,01-03-2024 11:31:29,4,
CASE085,16-02-2024 15:03:27,Account_Query,Fund_Transfer,23-02-2024 15:03:27,2,
CASE086,16-02-2024 17:33:56,Sales_Application,Other,27-02-2024 17:33:56,4,
CASE087,17-02-2024 16:57:30,Subject_Access_Request,Other,01-03-2024 16:57:30,3,
CASE088,18-02-2024 15:29:31,Account_Query,ID&V,26-02-2024 15:29:31,4,
CASE089,19-02-2024 09:04:28,Change_of_Detail,Fund_Transfer,25-02-2024 09:04:28,3,
CASE090,19-02-2024 11:01:58,Telephony_Registration,Payment_Verification,21-02-2024 11:01:58,5,
CASE091,19-02-2024 15:01:44,Subject_Access_Request,Account_Check,29-02-2024 15:01:44,5,
CASE092,21-02-2024 16:33:27,Account_Query,Payment_Verification,03-03-2024 16:33:27,5,
CASE093,23-02-2024 16:36:46,Subject_Access_Request,Payment_Verification,25-02-2024 16:36:46,5,
CASE094,24-02-2024 11:19:32,Account_Trace,Account_Check,03-03-2024 11:19:32,2,
CASE095,24-02-2024 17:13:12,Account_Trace,Withdrawl,01-03-2024 17:13:12,2,
CASE096,25-02-2024 12:18:43,Complaint,Withdrawl,26-02-2024 12:18:43,2,
CASE097,26-02-2024 10:07:06,Complaint,Withdrawl,02-03-2024 10:07:06,3,
CASE098,27-02-2024 09:40:19,Subject_Access_Request,Payment_Verification,04-03-2024 09:40:19,2,
CASE099,29-02-2024 11:20:59,Subject_Access_Request,Account_Check,08-03-2024 11:20:59,5,
CASE100,29-02-2024 16:31:35,Subject_Access_Request,Payment,01-03-2024 16:31:35,1,
CASE101,01-03-2024 13:01:03,Account_Query,Fund_Transfer,07-03-2024 13:01:03,5,
CASE102,02-03-2024 09:01:18,Sales_Application,ID&V,07-03-2024 09:01:18,4,
CASE103,02-03-2024 10:10:51,Complaint,Other,06-03-2024 10:10:51,2,
CASE104,03-03-2024 11:30:03,Complaint,Other,09-03-2024 11:30:03,5,
CASE105,04-03-2024 11:17:23,Account_Query,Change,11-03-2024 11:17:23,2,
CASE106,04-03-2024 11:29:46,Account_Query,Payment,16-03-2024 11:29:46,4,
CASE107,08-03-2024 11:24:00,Postal_Payment,ID&V,11-03-2024 11:24:00,4,
CASE108,08-03-2024 14:54:23,Account_Query,Payment,16-03-2024 14:54:23,1,
CASE109,09-03-2024 11:35:14,Account_Trace,Other,23-03-2024 11:35:14,2,
CASE110,10-03-2024 10:59:05,Online_Registration,Fund_Transfer,12-03-2024 10:59:05,4,
CASE111,10-03-2024 11:37:32,Subject_Access_Request,ID&V,18-03-2024 11:37:32,3,
CASE112,11-03-2024 11:53:57,Sales_Application,Change,18-03-2024 11:53:57,1,
CASE113,11-03-2024 12:31:32,Sales_Application,ID&V,22-03-2024 12:31:32,1,
CASE114,12-03-2024 15:11:23,Account_Trace,Account_Check,26-03-2024 15:11:23,5,
CASE115,13-03-2024 09:17:08,Account_Query,ID&V,19-03-2024 09:17:08,3,
CASE116,13-03-2024 13:12:17,Telephony_Registration,Fund_Transfer,16-03-2024 13:12:17,4,
CASE117,13-03-2024 15:31:32,Complaint,Fund_Transfer,25-03-2024 15:31:32,1,
CASE118,13-03-2024 16:44:07,Postal_Payment,Account_Check,18-03-2024 16:44:07,2,
CASE119,15-03-2024 12:41:11,Account_Query,Other,24-03-2024 12:41:11,4,
CASE120,15-03-2024 15:49:15,Account_Trace,Account_Check,16-03-2024 15:49:15,3,
CASE121,16-03-2024 11:01:32,Subject_Access_Request,Payment,18-03-2024 11:01:32,2,
CASE122,16-03-2024 11:02:07,Postal_Payment,Other,19-03-2024 11:02:07,1,
CASE123,16-03-2024 11:55:49,Complaint,Change,18-03-2024 11:55:49,4,
CASE124,17-03-2024 11:26:36,Sales_Application,Account_Check,19-03-2024 11:26:36,5,
CASE125,18-03-2024 09:11:31,Postal_Payment,Payment,23-03-2024 09:11:31,3,
CASE126,18-03-2024 09:45:13,Account_Trace,Other,24-03-2024 09:45:13,5,
CASE127,18-03-2024 17:42:35,Subject_Access_Request,Payment,23-03-2024 17:42:35,3,
CASE128,19-03-2024 13:47:08,Account_Query,Withdrawl,21-03-2024 13:47:08,5,
CASE129,20-03-2024 09:03:01,Postal_Payment,Payment,21-03-2024 09:03:01,1,
CASE130,20-03-2024 09:16:51,Subject_Access_Request,Payment_Verification,24-03-2024 09:16:51,4,
CASE131,21-03-2024 12:55:35,Sales_Application,Account_Check,30-03-2024 12:55:35,5,
CASE132,21-03-2024 17:29:54,Account_Trace,Other,03-04-2024 17:29:54,5,
CASE133,25-03-2024 09:42:03,Account_Query,Fund_Transfer,30-03-2024 09:42:03,4,
CASE134,25-03-2024 09:49:15,Complaint,Other,08-04-2024 09:49:15,1,
CASE135,25-03-2024 13:10:34,Change_of_Detail,Withdrawl,02-04-2024 13:10:34,3,
CASE136,26-03-2024 16:43:49,Postal_Payment,Payment_Verification,31-03-2024 16:43:49,1,
CASE137,28-03-2024 13:12:52,Complaint,Payment,30-03-2024 13:12:52,5,
CASE138,29-03-2024 09:24:37,Telephony_Registration,Change,10-04-2024 09:24:37,3,
CASE139,29-03-2024 11:11:20,Sales_Application,Account_Check,03-04-2024 11:11:20,3,
CASE140,29-03-2024 13:06:40,Account_Query,Withdrawl,09-04-2024 13:06:40,3,
CASE141,29-03-2024 16:45:59,Sales_Application,ID&V,31-03-2024 16:45:59,1,
CASE142,30-03-2024 10:42:06,Subject_Access_Request,Other,31-03-2024 10:42:06,4,
CASE143,30-03-2024 13:22:22,Change_of_Detail,Change,03-04-2024 13:22:22,3,
CASE144,02-04-2024 12:37:09,Complaint,Change,12-04-2024 12:37:09,1,
CASE145,03-04-2024 11:39:33,Sales_Application,Withdrawl,16-04-2024 11:39:33,1,
CASE146,03-04-2024 14:08:01,Telephony_Registration,Fund_Transfer,16-04-2024 14:08:01,4,
CASE147,03-04-2024 15:32:07,Subject_Access_Request,Account_Check,11-04-2024 15:32:07,3,
CASE148,04-04-2024 09:11:14,Complaint,Withdrawl,07-04-2024 09:11:14,5,
CASE149,05-04-2024 09:25:21,Telephony_Registration,Withdrawl,13-04-2024 09:25:21,3,
CASE150,06-04-2024 15:24:12,Complaint,ID&V,20-04-2024 15:24:12,5,
CASE151,06-04-2024 17:55:15,Online_Registration,Payment_Verification,11-04-2024 17:55:15,1,
CASE152,07-04-2024 12:58:54,Subject_Access_Request,Change,12-04-2024 12:58:54,4,
CASE153,07-04-2024 14:32:38,Account_Trace,Payment,18-04-2024 14:32:38,5,
CASE154,07-04-2024 16:00:03,Complaint,ID&V,20-04-2024 16:00:03,1,
CASE155,08-04-2024 10:35:37,Subject_Access_Request,Payment,11-04-2024 10:35:37,4,
CASE156,08-04-2024 11:30:37,Online_Registration,Withdrawl,20-04-2024 11:30:37,4,
CASE157,08-04-2024 14:52:05,Subject_Access_Request,Payment,15-04-2024 14:52:05,2,
CASE158,08-04-2024 15:09:30,Change_of_Detail,Withdrawl,15-04-2024 15:09:30,2,
CASE159,08-04-2024 15:42:46,Postal_Payment,Account_Check,13-04-2024 15:42:46,1,
CASE160,09-04-2024 12:42:12,Account_Query,Withdrawl,16-04-2024 12:42:12,5,
CASE161,09-04-2024 13:14:10,Complaint,Withdrawl,13-04-2024 13:14:10,1,
CASE162,09-04-2024 16:06:23,Sales_Application,Change,16-04-2024 16:06:23,2,
CASE163,09-04-2024 17:08:44,Change_of_Detail,Fund_Transfer,11-04-2024 17:08:44,2,
CASE164,11-04-2024 17:18:23,Online_Registration,Withdrawl,16-04-2024 17:18:23,5,
CASE165,12-04-2024 10:07:24,Subject_Access_Request,Other,18-04-2024 10:07:24,5,
CASE166,13-04-2024 10:27:42,Change_of_Detail,ID&V,23-04-2024 10:27:42,1,
CASE167,13-04-2024 12:35:17,Account_Query,Account_Check,19-04-2024 12:35:17,3,
CASE168,13-04-2024 12:50:07,Sales_Application,ID&V,14-04-2024 12:50:07,2,
CASE169,14-04-2024 13:56:30,Account_Query,Change,23-04-2024 13:56:30,3,
CASE170,14-04-2024 14:44:53,Account_Query,ID&V,17-04-2024 14:44:53,5,
CASE171,14-04-2024 17:39:24,Sales_Application,ID&V,22-04-2024 17:39:24,4,
CASE172,15-04-2024 11:33:04,Telephony_Registration,Other,25-04-2024 11:33:04,4,
CASE173,15-04-2024 14:26:27,Subject_Access_Request,Fund_Transfer,29-04-2024 14:26:27,4,
CASE174,15-04-2024 16:44:24,Sales_Application,Change,19-04-2024 16:44:24,3,
CASE175,16-04-2024 12:09:22,Account_Query,Payment_Verification,23-04-2024 12:09:22,2,
CASE176,16-04-2024 12:14:59,Telephony_Registration,ID&V,19-04-2024 12:14:59,5,
CASE177,17-04-2024 11:03:50,Telephony_Registration,ID&V,18-04-2024 11:03:50,2,
CASE178,17-04-2024 11:21:07,Online_Registration,Payment,28-04-2024 11:21:07,4,
CASE179,17-04-2024 12:20:27,Online_Registration,Fund_Transfer,27-04-2024 12:20:27,1,
CASE180,18-04-2024 15:26:21,Postal_Payment,Payment_Verification,20-04-2024 15:26:21,4,
CASE181,19-04-2024 16:01:12,Online_Registration,Payment,21-04-2024 16:01:12,1,
CASE182,20-04-2024 16:27:16,Account_Trace,Account_Check,01-05-2024 16:27:16,3,
CASE183,21-04-2024 15:54:35,Telephony_Registration,Payment_Verification,03-05-2024 15:54:35,5,
CASE184,23-04-2024 10:59:23,Subject_Access_Request,Payment,06-05-2024 10:59:23,3,
CASE185,23-04-2024 11:16:48,Postal_Payment,Other,26-04-2024 11:16:48,4,
CASE186,23-04-2024 11:24:09,Sales_Application,Withdrawl,26-04-2024 11:24:09,1,
CASE187,23-04-2024 13:08:24,Account_Trace,Fund_Transfer,07-05-2024 13:08:24,4,
CASE188,25-04-2024 09:26:47,Sales_Application,Payment_Verification,09-05-2024 09:26:47,5,
CASE189,25-04-2024 10:14:44,Complaint,Change,27-04-2024 10:14:44,1,
CASE190,26-04-2024 11:58:16,Complaint,Account_Check,06-05-2024 11:58:16,2,
CASE191,26-04-2024 17:59:08,Account_Query,Account_Check,29-04-2024 17:59:08,1,
CASE192,29-04-2024 13:54:03,Account_Query,Payment,10-05-2024 13:54:03,2,
CASE193,30-04-2024 15:05:28,Online_Registration,ID&V,14-05-2024 15:05:28,2,
CASE194,02-05-2024 16:22:31,Subject_Access_Request,ID&V,11-05-2024 16:22:31,2,
CASE195,03-05-2024 14:37:06,Telephony_Registration,Change,15-05-2024 14:37:06,3,
CASE196,04-05-2024 09:20:36,Postal_Payment,Fund_Transfer,09-05-2024 09:20:36,3,
CASE197,04-05-2024 09:21:45,Complaint,Fund_Transfer,11-05-2024 09:21:45,2,
CASE198,04-05-2024 11:29:02,Online_Registration,Change,13-05-2024 11:29:02,4,
CASE199,04-05-2024 15:10:39,Online_Registration,Payment_Verification,09-05-2024 15:10:39,4,
CASE200,05-05-2024 10:14:53,Online_Registration,Fund_Transfer,18-05-2024 10:14:53,2,
CASE201,05-05-2024 15:04:11,Change_of_Detail,Payment,13-05-2024 15:04:11,5,
CASE202,06-05-2024 17:36:14,Sales_Application,Payment_Verification,13-05-2024 17:36:14,3,
CASE203,07-05-2024 13:45:24,Complaint,Payment,08-05-2024 13:45:24,1,
CASE204,07-05-2024 15:40:54,Account_Query,Other,09-05-2024 15:40:54,5,
CASE205,09-05-2024 09:45:39,Sales_Application,Fund_Transfer,21-05-2024 09:45:39,4,
CASE206,10-05-2024 09:24:12,Telephony_Registration,Account_Check,14-05-2024 09:24:12,2,
CASE207,10-05-2024 12:06:03,Account_Query,Change,16-05-2024 12:06:03,5,
CASE208,11-05-2024 16:39:22,Account_Query,Withdrawl,16-05-2024 16:39:22,3,
CASE209,12-05-2024 13:38:21,Account_Trace,Change,14-05-2024 13:38:21,3,
CASE210,13-05-2024 12:32:07,Telephony_Registration,Payment,14-05-2024 12:32:07,5,
CASE211,13-05-2024 17:56:33,Postal_Payment,ID&V,15-05-2024 17:56:33,1,
CASE212,14-05-2024 14:40:42,Online_Registration,ID&V,19-05-2024 14:40:42,3,
CASE213,15-05-2024 10:36:37,Complaint,Withdrawl,27-05-2024 10:36:37,4,
CASE214,15-05-2024 15:26:38,Account_Query,Account_Check,21-05-2024 15:26:38,4,
CASE215,17-05-2024 09:10:48,Account_Trace,Withdrawl,24-05-2024 09:10:48,5,
CASE216,17-05-2024 10:37:55,Account_Trace,Other,24-05-2024 10:37:55,2,
CASE217,17-05-2024 13:51:27,Complaint,Other,27-05-2024 13:51:27,5,
CASE218,18-05-2024 10:16:02,Account_Query,Payment_Verification,31-05-2024 10:16:02,1,
CASE219,18-05-2024 10:30:26,Telephony_Registration,Withdrawl,30-05-2024 10:30:26,3,
CASE220,18-05-2024 11:18:32,Postal_Payment,ID&V,22-05-2024 11:18:32,1,
CASE221,18-05-2024 17:34:22,Telephony_Registration,Payment,30-05-2024 17:34:22,2,
CASE222,19-05-2024 11:03:33,Account_Query,Fund_Transfer,28-05-2024 11:03:33,4,
CASE223,19-05-2024 15:35:08,Change_of_Detail,ID&V,23-05-2024 15:35:08,5,
CASE224,19-05-2024 17:42:00,Subject_Access_Request,Fund_Transfer,30-05-2024 17:42:00,2,
CASE225,20-05-2024 11:43:18,Online_Registration,Change,31-05-2024 11:43:18,3,
CASE226,20-05-2024 13:12:26,Postal_Payment,Payment_Verification,25-05-2024 13:12:26,1,
CASE227,20-05-2024 15:48:06,Account_Trace,Payment_Verification,30-05-2024 15:48:06,1,
CASE228,21-05-2024 12:26:30,Complaint,Change,02-06-2024 12:26:30,4,
CASE229,23-05-2024 13:30:43,Account_Trace,Change,28-05-2024 13:30:43,3,
CASE230,24-05-2024 11:04:42,Subject_Access_Request,Payment,30-05-2024 11:04:42,2,
CASE231,25-05-2024 13:50:36,Change_of_Detail,Fund_Transfer,08-06-2024 13:50:36,3,
CASE232,25-05-2024 16:31:26,Postal_Payment,Payment,28-05-2024 16:31:26,5,
CASE233,26-05-2024 09:51:16,Telephony_Registration,Account_Check,28-05-2024 09:51:16,3,
CASE234,26-05-2024 12:18:09,Subject_Access_Request,Other,27-05-2024 12:18:09,5,
CASE235,26-05-2024 15:41:28,Online_Registration,Fund_Transfer,09-06-2024 15:41:28,5,
CASE236,26-05-2024 16:02:21,Account_Trace,Withdrawl,04-06-2024 16:02:21,4,
CASE237,28-05-2024 12:10:48,Complaint,Payment,04-06-2024 12:10:48,2,
CASE238,28-05-2024 13:15:36,Account_Query,Payment,11-06-2024 13:15:36,5,
CASE239,29-05-2024 14:48:20,Online_Registration,Other,30-05-2024 14:48:20,2,
CASE240,29-05-2024 15:12:06,Postal_Payment,Fund_Transfer,03-06-2024 15:12:06,1,
CASE241,29-05-2024 16:46:16,Account_Trace,Payment,09-06-2024 16:46:16,5,
CASE242,29-05-2024 17:52:22,Online_Registration,ID&V,12-06-2024 17:52:22,4,
CASE243,30-05-2024 16:16:28,Complaint,Payment,13-06-2024 16:16:28,2,
CASE244,01-06-2024 09:19:18,Account_Trace,Withdrawl,04-06-2024 09:19:18,3,
CASE245,02-06-2024 12:59:37,Online_Registration,Payment,03-06-2024 12:59:37,2,
CASE246,03-06-2024 14:53:31,Online_Registration,Withdrawl,12-06-2024 14:53:31,1,
CASE247,04-06-2024 09:14:07,Postal_Payment,Payment_Verification,09-06-2024 09:14:07,5,
CASE248,04-06-2024 14:59:43,Account_Query,Change,11-06-2024 14:59:43,2,
CASE249,04-06-2024 15:37:35,Account_Trace,Fund_Transfer,11-06-2024 15:37:35,2,
CASE250,04-06-2024 17:15:56,Account_Trace,Account_Check,17-06-2024 17:15:56,4,
CASE251,05-06-2024 09:37:44,Sales_Application,ID&V,07-06-2024 09:37:44,1,
CASE252,05-06-2024 13:33:27,Subject_Access_Request,Other,08-06-2024 13:33:27,2,
CASE253,05-06-2024 14:11:02,Telephony_Registration,Account_Check,15-06-2024 14:11:02,3,
CASE254,06-06-2024 10:04:22,Complaint,Payment,15-06-2024 10:04:22,5,
CASE255,06-06-2024 10:06:23,Sales_Application,Payment_Verification,13-06-2024 10:06:23,4,
CASE256,06-06-2024 16:24:23,Telephony_Registration,Payment_Verification,14-06-2024 16:24:23,3,
CASE257,07-06-2024 12:15:33,Complaint,Account_Check,16-06-2024 12:15:33,2,
CASE258,07-06-2024 15:56:10,Account_Trace,Withdrawl,16-06-2024 15:56:10,1,
CASE259,07-06-2024 16:53:11,Telephony_Registration,ID&V,13-06-2024 16:53:11,5,
CASE260,08-06-2024 17:32:21,Account_Query,Account_Check,14-06-2024 17:32:21,5,
CASE261,08-06-2024 17:50:21,Account_Trace,Change,17-06-2024 17:50:21,2,
CASE262,09-06-2024 10:18:29,Sales_Application,Account_Check,11-06-2024 10:18:29,1,
CASE263,09-06-2024 15:03:36,Online_Registration,ID&V,11-06-2024 15:03:36,3,
CASE264,09-06-2024 17:04:16,Subject_Access_Request,Payment,16-06-2024 17:04:16,5,
CASE265,10-06-2024 11:21:24,Online_Registration,Payment_Verification,20-06-2024 11:21:24,1,
CASE266,10-06-2024 11:31:55,Telephony_Registration,ID&V,16-06-2024 11:31:55,1,
CASE267,10-06-2024 13:38:30,Complaint,Account_Check,23-06-2024 13:38:30,4,
CASE268,10-06-2024 16:51:36,Account_Query,Payment_Verification,19-06-2024 16:51:36,4,
CASE269,11-06-2024 15:24:37,Postal_Payment,ID&V,16-06-2024 15:24:37,1,
CASE270,11-06-2024 15:40:28,Complaint,Payment_Verification,21-06-2024 15:40:28,4,
CASE271,12-06-2024 10:30:35,Account_Query,ID&V,18-06-2024 10:30:35,4,
CASE272,13-06-2024 10:08:59,Subject_Access_Request,Account_Check,24-06-2024 10:08:59,1,
CASE273,15-06-2024 13:07:41,Subject_Access_Request,ID&V,28-06-2024 13:07:41,3,
CASE274,16-06-2024 12:17:51,Sales_Application,Account_Check,29-06-2024 12:17:51,2,
CASE275,17-06-2024 11:44:10,Subject_Access_Request,ID&V,25-06-2024 11:44:10,3,
CASE276,17-06-2024 13:49:18,Subject_Access_Request,Payment_Verification,26-06-2024 13:49:18,4,
CASE277,18-06-2024 15:26:38,Postal_Payment,Other,19-06-2024 15:26:38,3,
CASE278,19-06-2024 09:58:45,Account_Trace,Account_Check,30-06-2024 09:58:45,3,
CASE279,19-06-2024 10:58:48,Change_of_Detail,Fund_Transfer,03-07-2024 10:58:48,5,
CASE280,19-06-2024 12:01:09,Telephony_Registration,Other,29-06-2024 12:01:09,3,
CASE281,19-06-2024 13:24:49,Sales_Application,Payment_Verification,25-06-2024 13:24:49,4,
CASE282,19-06-2024 14:32:47,Account_Query,Payment_Verification,23-06-2024 14:32:47,4,
CASE283,20-06-2024 10:02:04,Sales_Application,Payment,02-07-2024 10:02:04,1,
CASE284,20-06-2024 10:19:47,Account_Trace,Payment_Verification,27-06-2024 10:19:47,5,
CASE285,20-06-2024 12:51:59,Online_Registration,Withdrawl,29-06-2024 12:51:59,4,
CASE286,20-06-2024 17:33:13,Subject_Access_Request,Account_Check,01-07-2024 17:33:13,5,
CASE287,21-06-2024 09:01:26,Sales_Application,Other,28-06-2024 09:01:26,2,
CASE288,21-06-2024 11:17:14,Change_of_Detail,ID&V,23-06-2024 11:17:14,3,
CASE289,21-06-2024 13:43:24,Account_Query,Payment,28-06-2024 13:43:24,5,
CASE290,26-06-2024 13:49:09,Account_Query,Fund_Transfer,05-07-2024 13:49:09,1,
CASE291,27-06-2024 15:51:59,Sales_Application,Withdrawl,29-06-2024 15:51:59,3,
CASE292,27-06-2024 16:18:37,Postal_Payment,ID&V,28-06-2024 16:18:37,1,
CASE293,27-06-2024 16:26:59,Change_of_Detail,Change,09-07-2024 16:26:59,2,
CASE294,28-06-2024 13:25:32,Telephony_Registration,Fund_Transfer,05-07-2024 13:25:32,3,
CASE295,29-06-2024 11:53:05,Change_of_Detail,Fund_Transfer,01-07-2024 11:53:05,1,
